W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,team,date
0.714,47.1,14.5,5.7,108.3,102.5,0.548,2015-16 Cleveland Cavaliers,02/05/2016
0.412,44.5,16.2,-1.8,105.4,107.1,0.546,2015-16 Sacramento Kings,02/07/2016
0.396,43.5,16.0,-5.2,103.0,108.3,0.535,2015-16 Milwaukee Bucks,02/09/2016
0.66,43.2,13.2,4.0,106.8,102.8,0.552,2015-16 Los Angeles Clippers,02/10/2016
0.5,46.1,16.0,1.5,105.3,103.7,0.539,2015-16 Utah Jazz,02/19/2016
0.393,45.9,15.3,-3.4,104.0,107.6,0.528,2015-16 Denver Nuggets,02/21/2016
0.316,43.8,15.4,-3.8,104.7,108.2,0.542,2015-16 Minnesota Timberwolves,02/22/2016
0.414,43.8,16.1,-4.5,102.8,107.4,0.534,2015-16 Milwaukee Bucks,02/25/2016
0.552,46.8,15.1,0.0,102.7,102.7,0.534,2015-16 Miami Heat,02/27/2016
0.475,45.9,16.0,0.9,105.0,104.1,0.537,2015-16 Utah Jazz,02/29/2016
0.532,47.4,15.1,1.2,106.7,105.6,0.542,2015-16 Portland Trail Blazers,03/02/2016
0.397,46.3,14.0,-2.9,104.2,107.0,0.526,2015-16 New York Knicks,03/04/2016
0.721,47.3,14.2,6.5,109.2,102.7,0.552,2015-16 Cleveland Cavaliers,03/05/2016
0.594,43.0,13.9,-0.7,104.8,105.5,0.534,2015-16 Memphis Grizzlies,03/09/2016
0.508,42.9,16.3,-1.0,106.2,107.3,0.55,2015-16 Houston Rockets,03/11/2016
0.537,44.9,15.0,1.5,103.4,102.1,0.532,2015-16 Indiana Pacers,03/15/2016
0.676,49.2,16.0,7.2,111.8,104.8,0.565,2015-16 Oklahoma City Thunder,03/16/2016
0.691,45.8,14.1,5.0,109.3,104.6,0.554,2015-16 Toronto Raptors,03/18/2016
0.129,41.5,17.2,-10.7,98.1,108.8,0.52,2015-16 Philadelphia 76ers,03/20/2016
0.414,44.8,14.7,-2.4,103.1,105.5,0.528,2015-16 Orlando Magic,03/21/2016
0.686,46.0,14.0,4.8,109.0,104.6,0.551,2015-16 Toronto Raptors,03/23/2016
0.274,44.6,17.0,-7.3,101.2,108.4,0.526,2015-16 Phoenix Suns,03/26/2016
0.63,43.1,13.4,3.8,107.0,103.1,0.554,2015-16 Los Angeles Clippers,03/28/2016
0.526,46.9,14.9,0.8,107.2,106.6,0.545,2015-16 Portland Trail Blazers,03/31/2016
0.895,45.6,14.9,10.7,113.5,102.7,0.591,2015-16 Golden State Warriors,04/01/2016
0.211,44.4,14.1,-9.5,101.1,110.3,0.51,2015-16 Los Angeles Lakers,04/03/2016
0.372,43.7,13.7,-3.4,104.4,107.6,0.536,2015-16 New Orleans Pelicans,04/06/2016
0.405,43.4,15.7,-4.4,103.6,108.1,0.537,2015-16 Milwaukee Bucks,04/08/2016
0.6,42.8,15.1,4.1,104.9,100.6,0.553,2015-16 Atlanta Hawks,04/09/2016
0.58,45.2,13.0,2.7,106.3,103.8,0.544,2015-16 Charlotte Hornets,04/11/2016
0.585,46.5,14.8,1.7,105.5,103.7,0.545,2015-16 Miami Heat,04/13/2016
